;  CONO DALMATA-helado ; Helado de Miel  ; Heca ; 6,000 ; lt ; 4.400 ; 26.400 ; 264 
; AC- Empanada de locos, camarones y ostion- relleno  ; Camarón 36/40 ; Southwind ; 2,000 ; kg ; 7.700 ; 15.400 ; 154 
; AC- Empanada de locos, camarones y ostion- relleno  ; Ostión sin coral ; Southwind ; 0,625 ; kg ; 7.200 ; 4.500 ; 45 
; AC- Empanada de locos, camarones y ostion- relleno  ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
; AC- Empanada de locos, camarones y ostion- relleno  ; Ají cacho de cabra ; Fruton ; 0,100 ; kg ; 12.900 ; 1.290 ; 13 
; AC- Empanada de locos, camarones y ostion- relleno  ; Choritos frescos ; Delicias y mas SpA ; 2,500 ; kg ; 2.990 ; 7.475 ; 75 
; AC- Empanada de locos, camarones y ostion- relleno  ; perejil ; Comercial Valencia ; 0,300 ; kg ; 1.980 ; 594 ; 6 
; AC- Empanada de locos, camarones y ostion- relleno  ; Queso crema ; Delicias y mas SpA ; 1,000 ; kg ; 6.961 ; 6.961 ; 70 
; AC- Empanada de locos, camarones y ostion- relleno  ; Maicena ; Fruton ; 0,200 ; kg ; 1.990 ; 398 ; 4 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; Champiñon granel ; Protier ; 2,500 ; kg ; 6.400 ; 16.000 ; 160 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; AJO ; Comercial Valencia ; 0,200 ; c/u ; 450 ; 90 ; 1 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; mantequilla ; Cabezas y cia ; 0,200 ; kg ; 8.391 ; 1.678 ; 17 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; Ají cacho de cabra ; Fruton ; 0,100 ; kg ; 12.900 ; 1.290 ; 13 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; cebolla ; Fruton ; 1,500 ; kg ; 690 ; 1.035 ; 11 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; perejil ; Comercial Valencia ; 0,300 ; kg ; 1.980 ; 594 ; 6 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; Vino Tinto en botella ; German García ; 0,500 ; botella ; 1.260 ; 630 ; 7 
; AC- Empanada de wayu, tomate confit y mantecoso-champiñon al pil pil ; queso mantecoso ; artisan ; 1,000 ; kg ; 9.160 ; 9.160 ; 92 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; Huesos carnudos ; Pallet Steak ; 4,000 ; kg ; 2.490 ; 9.960 ; 100 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; Harina ; Delicias y mas SpA ; 0,350 ; kg ; 1.300 ; 455 ; 5 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; cebolla ; Fruton ; 0,600 ; kg ; 690 ; 414 ; 5 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; Zanahorias ; Comercial Valencia ; 1,000 ; pqte ; 790 ; 790 ; 8 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; Concentrado de tomate ; Delicias y mas SpA ; 0,300 ; kg ; 6.390 ; 1.917 ; 20 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; ajo ; Comercial Valencia ; 1,500 ; c/u ; 450 ; 675 ; 7 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; Apio ; Delicias y mas SpA ; 0,125 ; mata ; 980 ; 123 ; 2 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; Vino Tinto en botella ; German García ; 2,250 ; botella ; 1.260 ; 2.835 ; 29 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; Maicena ; Fruton ; 0,150 ; kg ; 1.990 ; 299 ; 3 
; AC- Empanada de wayu, tomate confit y mantecoso-Demi Glace ; Puerros ; Comercial Valencia ; 2,000 ; c/u ; 790 ; 1.580 ; 16 
; AC- Empanada de wayu, tomate confit y mantecoso-Masa ; harina ; Delicias y mas SpA ; 1,700 ; kg ; 1.300 ; 2.210 ; 23 
; AC- Empanada de wayu, tomate confit y mantecoso-Masa ; manteca ; Fruton ; 0,425 ; kg ; 3.390 ; 1.441 ; 15 
; AC- Empanada de wayu, tomate confit y mantecoso-Masa ; Vino blanco en caja 2 lt ; CCU ; 0,200 ; caja ; 1.303 ; 261 ; 3 
; AC- Empanada de wayu, tomate confit y mantecoso-Masa ; Huevos ; MIGUEL FARIAS ; 4,000 ; c/u ; 240 ; 960 ; 10 
; AC- Empanada de wayu, tomate confit y mantecoso-Masa ; harina ; Delicias y mas SpA ; 2,200 ; kg ; 1.300 ; 2.860 ; 29 
; AC- Empanada de wayu, tomate confit y mantecoso-Masa ; manteca ; Fruton ; 0,550 ; kg ; 3.390 ; 1.865 ; 19 
; AC- Empanada de wayu, tomate confit y mantecoso-Masa ; Vino blanco en caja 2 lt ; CCU ; 0,330 ; caja ; 1.303 ; 430 ; 5 
; AC- Empanada de wayu, tomate confit y mantecoso-Masa ; Huevos ; MIGUEL FARIAS ; 4,000 ; c/u ; 240 ; 960 ; 10 
; AC- Empanada de wayu, tomate confit y mantecoso-tomate confit ; Tomate ; Fruton ; 4,000 ; kg ; 1.490 ; 5.960 ; 60 
; AC- Empanada de wayu, tomate confit y mantecoso-tomate confit ; Aceite ; Fruton ; 0,200 ; lt ; 3.450 ; 690 ; 7 
; AC- Empanada de wayu, tomate confit y mantecoso-tomate confit ; Aceite de oliva ; Arasil ; 0,400 ; lt ; 5.782 ; 2.313 ; 24 
; AC- Empanada de wayu, tomate confit y mantecoso-tomate confit ; Tomillo fresco ; Fruton ; 1,000 ; atado ; 1.390 ; 1.390 ; 14 
; AC- Empanada de wayu, tomate confit y mantecoso-tomate confit ; Ajo ; Comercial Valencia ; 0,500 ; c/u ; 450 ; 225 ; 3 
; AC- Empanada de wayu, tomate confit y mantecoso-wayu  ; Punta paleta de wagyu ; Pallet Steak ; 4,000 ; kg ; 9.998 ; 39.992 ; 400 
; AC- Empanada de wayu, tomate confit y mantecoso-wayu  ; Vinagre rosado ; MIGUEL FARIAS ; 1,000 ; botella ; 765 ; 765 ; 8 
; AC- Empanada de wayu, tomate confit y mantecoso-wayu  ; Mostaza Dijon ; Delicias y mas SpA ; 0,500 ; kg ; 6.715 ; 3.358 ; 34 
; AC- Empanada de wayu, tomate confit y mantecoso-wayu  ; Orégano ; Fruton ; 0,050 ; kg ; 3.900 ; 195 ; 2 
; AC- Empanada de wayu, tomate confit y mantecoso-wayu  ; ajo ; Comercial Valencia ; 2,000 ; c/u ; 450 ; 900 ; 9 
; AC- Empanada de wayu, tomate confit y mantecoso-wayu  ; aceite ; Fruton ; 0,500 ; lt ; 3.450 ; 1.725 ; 18 
; AC- Huevos con trufas y ragut de champiñones ; Crema ; Cabezas y cia ; 4,000 ; lt ; 3.721 ; 14.884 ; 149 
; AC- Huevos con trufas y ragut de champiñones ; Huevos ; MIGUEL FARIAS ; 20,000 ; c/u ; 240 ; 4.800 ; 48 
; AC- Huevos con trufas y ragut de champiñones ; Aceite Tartufo ; Globe Italia ; 0,050 ; lt ; 29.900 ; 1.495 ; 15 
; AC- Huevos con trufas y ragut de champiñones ; queso crema ; Delicias y mas SpA ; 0,300 ; kg ; 6.961 ; 2.088 ; 21 
; AC- Huevos con trufas y ragut de champiñones-Ragut de champiñon ; Champiñones Royal ; Protier ; 0,300 ; kg ; 6.500 ; 1.950 ; 20 
; AC- Huevos con trufas y ragut de champiñones-Ragut de champiñon ; Champiñones portobello ; Fruton ; 0,300 ; kg ; 9.800 ; 2.940 ; 30 
; AC- Huevos con trufas y ragut de champiñones-Ragut de champiñon ; aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
; AC- Huevos con trufas y ragut de champiñones-Ragut de champiñon ; Cebollín ; Fruton ; 1,000 ; atado ; 1.890 ; 1.890 ; 19 
; AC- Huevos con trufas y ragut de champiñones-Tuil de cibulett ; mantequilla ; Cabezas y cia ; 0,070 ; kg ; 8.391 ; 587 ; 6 
; AC- Huevos con trufas y ragut de champiñones-Tuil de cibulett ; Huevos ; MIGUEL FARIAS ; 3,000 ; c/u ; 240 ; 720 ; 8 
; AC- Huevos con trufas y ragut de champiñones-Tuil de cibulett ; harina ; Delicias y mas SpA ; 0,070 ; kg ; 1.300 ; 91 ; 1 
; AC- Huevos con trufas y ragut de champiñones-Tuil de cibulett ; Azúcar flor ; Delicias y mas SpA ; 0,070 ; kg ; 1.500 ; 105 ; 2 
; AC- Huevos con trufas y ragut de champiñones-Tuil de cibulett ; Ciboulette ; Fruton ; 4,000 ; c/u ; 165 ; 660 ; 7 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; tomate ; Fruton ; 10,000 ; kg ; 1.490 ; 14.900 ; 149 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; leche de coco ; A Y R ; 10,000 ; lata ; 2.200 ; 22.000 ; 220 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; cebolla ; Fruton ; 2,500 ; kg ; 690 ; 1.725 ; 18 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; Pimentón Verde ; Fruton ; 20,000 ; c/u ; 1.290 ; 25.800 ; 258 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; cilantro ; Fruton ; 1,000 ; kg ; 1.980 ; 1.980 ; 20 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; Camarón 100/200 ; Southwind ; 2,000 ; kg ; 5.300 ; 10.600 ; 106 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; Camarón 26/30 ; Cero Pacifico ; 2,500 ; kg ; 7.400 ; 18.500 ; 185 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; Aceite de oliva ; Arasil ; 1,000 ; lt ; 5.782 ; 5.782 ; 58 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; Arroz  ; Cabezas y cia ; 4,000 ; kg ; 1.008 ; 4.032 ; 41 
 NUEVO ; AC- Moqueca de camaron - piramide de cristal ; Aceite de dende ; Comon ; 0,200 ; lt ; 11.820 ; 2.364 ; 24 
; AC- ostion a la parmesana ; Ostiones b ; Southwind ; 2,850 ; kg ; 8.790 ; 25.052 ; 251 
; AC- ostion a la parmesana ; Limón ; Fruton ; 0,500 ; kg ; 1.590 ; 795 ; 8 
; AC- ostion a la parmesana ; Vino blanco en caja 2 lt ; CCU ; 0,150 ; caja ; 1.303 ; 195 ; 2 
; AC- ostion a la parmesana ; Mantequilla ; Cabezas y cia ; 0,300 ; kg ; 8.391 ; 2.517 ; 26 
; AC- ostion a la parmesana ; Almendras laminadas ; Miguel Farias ; 0,300 ; kg ; 9.975 ; 2.993 ; 30 
; AC- ostion a la parmesana ; Queso parmesano en trozo ; Don Jaime ; 0,500 ; kg ; 12.524 ; 6.262 ; 63 
; AC- ostion a la parmesana ; Tenedores de madera ; cambiar ; 100,000 ; c/u ; 9 ; 900 ; 9 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Ostiones C ; Southwind ; 2,200 ; kg ; 17.000 ; 37.400 ; 374 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; limón ; Fruton ; 1,000 ; kg ; 1.590 ; 1.590 ; 16 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Harina ; Delicias y mas SpA ; 0,150 ; kg ; 1.300 ; 195 ; 2 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Huevos ; MIGUEL FARIAS ; 12,000 ; c/u ; 240 ; 2.880 ; 29 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Panko ; Fruton ; 0,250 ; kg ; 4.150 ; 1.038 ; 11 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Sésamo blanco ; MIGUEL FARIAS ; 0,040 ; kg ; 6.000 ; 240 ; 3 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Mantequilla ; Cabezas y cia ; 0,500 ; kg ; 8.391 ; 4.196 ; 42 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Perejil ; Comercial Valencia ; 0,200 ; kg ; 1.980 ; 396 ; 4 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Aceite ; Fruton ; 2,000 ; lt ; 3.450 ; 6.900 ; 69 
; AC- ostion apanado en panko y sesamo con mantequilla verde ; Tenedores de madera ; cambiar ; 100,000 ; c/u ; 9 ; 900 ; 9 
; AC- ostion apanado en sesamo blanco, negro y panko  ; Ostiones C ; Southwind ; 2,200 ; kg ; 17.000 ; 37.400 ; 374 
; AC- ostion apanado en sesamo blanco, negro y panko  ; Harina ; Delicias y mas SpA ; 0,150 ; kg ; 1.300 ; 195 ; 2 
; AC- ostion apanado en sesamo blanco, negro y panko  ; Huevos ; MIGUEL FARIAS ; 4,000 ; c/u ; 240 ; 960 ; 10 
; AC- ostion apanado en sesamo blanco, negro y panko  ; Panko ; Fruton ; 0,250 ; kg ; 4.150 ; 1.038 ; 11 
; AC- ostion apanado en sesamo blanco, negro y panko  ; Sésamo blanco ; MIGUEL FARIAS ; 0,020 ; kg ; 6.000 ; 120 ; 2 
; AC- ostion apanado en sesamo blanco, negro y panko  ; Sésamo negro ; Fruton ; 0,020 ; kg ; 5.500 ; 110 ; 2 
; AC- ostion apanado en sesamo blanco, negro y panko  ; Aceite ; Fruton ; 2,000 ; lt ; 3.450 ; 6.900 ; 69 
; AC- ostion apanado en sesamo blanco, negro y panko  ; Tenedores de madera ; cambiar ; 100,000 ; c/u ; 9 ; 900 ; 9 
; AC- ostion con mantequilla verde y almendras ; Ostiones b ; Southwind ; 2,850 ; kg ; 8.790 ; 25.052 ; 251 
; AC- ostion con mantequilla verde y almendras ; limón ; Fruton ; 1,000 ; kg ; 1.590 ; 1.590 ; 16 
; AC- ostion con mantequilla verde y almendras ; Vino blanco en caja 2 lt ; CCU ; 0,060 ; caja ; 1.303 ; 78 ; 1 
; AC- ostion con mantequilla verde y almendras ; Perejil ; Comercial Valencia ; 0,200 ; kg ; 1.980 ; 396 ; 4 
; AC- ostion con mantequilla verde y almendras ; panko ; Fruton ; 0,050 ; kg ; 4.150 ; 208 ; 3 
; AC- ostion con mantequilla verde y almendras ; Mantequilla ; Cabezas y cia ; 0,350 ; kg ; 8.391 ; 2.937 ; 30 
; AC- ostion con mantequilla verde y almendras ; Aceite ; Fruton ; 2,000 ; lt ; 3.450 ; 6.900 ; 69 
; AC- ostion con mantequilla verde y almendras ; Queso parmesano en trozo ; Don Jaime ; 0,500 ; kg ; 12.524 ; 6.262 ; 63 
; AC- ostion con mantequilla verde y almendras ; Almendras laminadas ; Miguel Farias ; 0,300 ; kg ; 9.975 ; 2.993 ; 30 
; AC- ostion con mantequilla verde y almendras ; Tenedores de madera ; cambiar ; 100,000 ; c/u ; 9 ; 900 ; 9 
; AC- ostion envuelto en knafi ; Ostiones C ; Southwind ; 1,300 ; kg ; 17.000 ; 22.100 ; 221 
; AC- ostion envuelto en knafi ; Knaffi ; Gastón Castillo ; 1,100 ; kg ; 6.800 ; 7.480 ; 75 
; AC- ostion envuelto en knafi ; Aceite ; Fruton ; 0,040 ; lt ; 3.450 ; 138 ; 2 
; AC- ostion envuelto en knafi ; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 
; AC- ostion envuelto en knafi-sobre taboule fresco ; Tomate ; Fruton ; 1,800 ; kg ; 1.490 ; 2.682 ; 27 
; AC- ostion envuelto en knafi-sobre taboule fresco ; Pepino Ensalada ; Comercial Valencia ; 3,600 ; c/u ; 790 ; 2.844 ; 29 
; AC- ostion envuelto en knafi-sobre taboule fresco ; Cous-cous ; Fruton ; 0,250 ; kg ; 5.890 ; 1.473 ; 15 
; AC- ostion envuelto en knafi-sobre taboule fresco ; Cilantro ; Fruton ; 0,100 ; kg ; 1.980 ; 198 ; 2 
; AC- ostion envuelto en knafi-sobre taboule fresco ; Limón ; Fruton ; 0,500 ; kg ; 1.590 ; 795 ; 8 
; AC- ostion envuelto en knafi-sobre taboule fresco ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
 AC08 ; AC- ostion sobre puerros a la crema en cuchara china ; Ostiones c ; Southwind ; 1,700 ; kg ; 17.000 ; 28.900 ; 289 
 AC08 ; AC- ostion sobre puerros a la crema en cuchara china ; Queso parmesano en trozo ; Don Jaime ; 0,500 ; kg ; 12.524 ; 6.262 ; 63 
 AC08 ; AC- ostion sobre puerros a la crema en cuchara china ; Puerros ; Comercial Valencia ; 10,000 ; c/u ; 790 ; 7.900 ; 79 
 AC08 ; AC- ostion sobre puerros a la crema en cuchara china ; Crema ; Cabezas y cia ; 1,000 ; lt ; 3.721 ; 3.721 ; 38 
 AC08 ; AC- ostion sobre puerros a la crema en cuchara china ; Almendras laminadas ; Miguel Farias ; 0,300 ; kg ; 9.975 ; 2.993 ; 30 
 AC08 ; AC- ostion sobre puerros a la crema en cuchara china ; Limón ; Fruton ; 1,000 ; kg ; 1.590 ; 1.590 ; 16 
 AC08 ; AC- ostion sobre puerros a la crema en cuchara china ; Maicena ; Fruton ; 0,100 ; kg ; 1.990 ; 199 ; 2 
 AC08 ; AC- ostion sobre puerros a la crema en cuchara china ; Vino blanco en caja 2 lt ; CCU ; 0,075 ; caja ; 1.303 ; 98 ; 1 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; Masa de Spring roll 25*25 ; Delicias y mas SpA ; 0,850 ; pqte ; 6.290 ; 5.347 ; 54 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; Pechuga de pollo deshuesada ; Pallet Steak ; 0,500 ; kg ; 4.598 ; 2.299 ; 23 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; Camarón 100/200 ; Southwind ; 0,300 ; kg ; 5.300 ; 1.590 ; 16 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; Huevos ; MIGUEL FARIAS ; 3,000 ; c/u ; 240 ; 720 ; 8 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; azúcar ; Delicias y mas SpA ; 0,200 ; kg ; 1.300 ; 260 ; 3 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; chuño ; Fruton ; 0,100 ; kg ; 1.790 ; 179 ; 2 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; soya ; Delicias y mas SpA ; 0,100 ; lt ; 2.645 ; 265 ; 3 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; Pimienta negra en grano ; A Y R ; 0,020 ; kg ; 6.500 ; 130 ; 2 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; sake ; German García ; 0,100 ; c/u ; 2.628 ; 263 ; 3 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; Aceite de sésamo ; Fruton ; 0,050 ; lt ; 18.225 ; 911 ; 10 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; salsa de pescado ; Delicias y mas SpA ; 0,050 ; lt ; 4.380 ; 219 ; 3 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; ajo ; Comercial Valencia ; 1,000 ; c/u ; 450 ; 450 ; 5 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; Jengibre fresco ; Fruton ; 0,070 ; kg ; 2.980 ; 209 ; 3 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-rolls ; aceite ; Fruton ; 0,200 ; lt ; 3.450 ; 690 ; 7 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-salsa ; semillas de mostaza  ; Fruton ; 0,080 ; kg ; 11.760 ; 941 ; 10 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-salsa ; mermelada de damasco ; Delicias y mas SpA ; 0,500 ; kg ; 3.364 ; 1.682 ; 17 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-salsa ; vinagre de arroz ; Centro Abasto ; 0,400 ; botella ; 2.990 ; 1.196 ; 12 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-salsa ; salsa de pescado ; Delicias y mas SpA ; 0,400 ; lt ; 4.380 ; 1.752 ; 18 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-salsa ; Jengibre fresco ; Fruton ; 0,020 ; kg ; 2.980 ; 60 ; 1 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-salsa ; menta ; Fruton ; 0,100 ; kg ; 3.980 ; 398 ; 4 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-verduras ; cebollín ; Fruton ; 1,000 ; atado ; 1.890 ; 1.890 ; 19 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-verduras ; Champiñones portobello ; Fruton ; 0,100 ; kg ; 9.800 ; 980 ; 10 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-verduras ; Zapallo italiano c/u ; Comercial Valencia ; 1,000 ; c/u ; 590 ; 590 ; 6 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-verduras ; vermicelli ; Delicias y mas SpA ; 0,050 ; kg ; 2.000 ; 100 ; 1 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-verduras ; Porotos verdes congelados ; Abasto ; 0,100 ; kg ; 1.398 ; 140 ; 2 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-verduras ; zanahorias ; Comercial Valencia ; 0,150 ; pqte ; 790 ; 119 ; 2 
 AC12A ; AC- Roll crocante de pollo y camaron con salsa thai de mostaza y damasco-verduras ; menta ; Fruton ; 0,100 ; kg ; 3.980 ; 398 ; 4 
 1 ; AC- triangulo de masa filo con queso y carne seca ; Masa filo ; Gastón Castillo ; 1,112 ; kg ; 6.400 ; 5.560 ; 56 
 1 ; AC- triangulo de masa filo con queso y carne seca ; Mantequilla ; Cabezas y cia ; 0,500 ; kg ; 8.391 ; 1.665 ; 17 
 1 ; AC- triangulo de masa filo con queso y carne seca ; Aceite ; Fruton ; 0,300 ; lt ; 3.450 ; 249 ; 3 
 1 ; AC- triangulo de masa filo con queso y carne seca ; Huevos ; MIGUEL FARIAS ; 4,000 ; c/u ; 240 ; 328 ; 4 
 1 ; AC- triangulo de masa filo con queso y carne seca ; Queso mozarella ; Delicias y mas SpA ; 2,000 ; kg ; 7.955 ; 9.399 ; 94 
 1 ; AC- triangulo de masa filo con queso y carne seca ; charqui ; cambiar ; 1,000 ; kg ; 24.794 ; 2.636 ; 27 
 1 ; AC- triangulo de masa filo con queso y carne seca ; cilantro ; Fruton ; 0,300 ; kg ; 1.980 ; 1.481 ; 15 
 AC14 ; AC- Yuca rellena con Mozzarella ; yuca ; Comercial Valencia ; 3,000 ; kg ; 1.980 ; 5.940 ; 60 
 AC14 ; AC- Yuca rellena con Mozzarella ; harina ; Delicias y mas SpA ; 0,400 ; kg ; 1.300 ; 520 ; 6 
 AC14 ; AC- Yuca rellena con Mozzarella ; Queso mozarella ; Delicias y mas SpA ; 0,300 ; kg ; 7.955 ; 2.387 ; 24 
 AC14 ; AC- Yuca rellena con Mozzarella ; aceite ; Fruton ; 2,000 ; lt ; 3.450 ; 6.900 ; 69 
 AC14 ; AC- Yuca rellena con Mozzarella-Salsa de Rocotto ; rocotto ; Fruton ; 0,300 ; kg ; 7.992 ; 2.398 ; 24 
 AC14 ; AC- Yuca rellena con Mozzarella-Salsa de Rocotto ; Vinagre de manzana ; Centro Abasto ; 0,150 ; botella ; 1.290 ; 194 ; 2 
 AC14 ; AC- Yuca rellena con Mozzarella-Salsa de Rocotto ; azúcar ; Delicias y mas SpA ; 0,100 ; kg ; 1.300 ; 130 ; 2 
 AC14 ; AC- Yuca rellena con Mozzarella-Salsa de Rocotto ; Mayonesa hellmanns  ; MIGUEL FARIAS ; 1,000 ; kg ; 3.650 ; 3.650 ; 37 
 AC14 ; AC- Yuca rellena con Mozzarella-Salsa de Rocotto ; aceite ; Fruton ; 0,500 ; lt ; 3.450 ; 1.725 ; 18 
 AC14 ; AC- Yuca rellena con Mozzarella-Salsa de Rocotto ; Limon sutil ; Fruton ; 0,500 ; kg ; 2.490 ; 1.245 ; 13 
 ES10A ; AC-Bolita de kubbe crudo mas triangulo de pan crocante ; Kubbe Crudo ; Nezar Lama ; 100,000 ; c/u ; 495 ; 49.500 ; 495 
 ES10A ; AC-Bolita de kubbe crudo mas triangulo de pan crocante ; CEBOLLÍN ; Fruton ; 1,000 ; atado ; 1.890 ; 1.890 ; 19 
 ES10A ; AC-Bolita de kubbe crudo mas triangulo de pan crocante ; ACEITE DE OLIVA ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 
 ES10A ; AC-Bolita de kubbe crudo mas triangulo de pan crocante-trangulo de pan ; PAN PITA GRANDE ; Centro Abasto ; 10,000 ; c/u ; 200 ; 2.000 ; 20 
; AC-bolitas de aceituna rellenascon chorizo.-pesto de tomate albahaca ; tomate ; Fruton ; 4,000 ; kg ; 1.490 ; 5.960 ; 60 
; AC-bolitas de aceituna rellenascon chorizo.-pesto de tomate albahaca ; ajo ; Comercial Valencia ; 3,000 ; c/u ; 450 ; 1.350 ; 14 
; AC-bolitas de aceituna rellenascon chorizo.-pesto de tomate albahaca ; Aceite de oliva ; Arasil ; 0,500 ; lt ; 5.782 ; 2.891 ; 29 
; AC-bolitas de aceituna rellenascon chorizo.-pesto de tomate albahaca ; Menta ; Fruton ; 0,300 ; kg ; 3.980 ; 1.194 ; 12 
; AC-bolitas de aceituna rellenascon chorizo.-pesto de tomate albahaca ; Tomate deshidratado ; Fruton ; 0,300 ; kg ; 12.900 ; 3.870 ; 39 
 AC04B ; AC-Brocheta de camaron apanado en coco ; Camarón 26/30 ; Cero Pacifico ; 2,500 ; kg ; 7.400 ; 18.500 ; 185 
 AC04B ; AC-Brocheta de camaron apanado en coco ; Aceite de sésamo ; Fruton ; 0,050 ; lt ; 18.225 ; 911 ; 10 
 AC04B ; AC-Brocheta de camaron apanado en coco ; Harina ; Delicias y mas SpA ; 0,100 ; kg ; 1.300 ; 130 ; 2 
 AC04B ; AC-Brocheta de camaron apanado en coco ; Huevos ; MIGUEL FARIAS ; 12,000 ; c/u ; 240 ; 2.880 ; 29 
 AC04B ; AC-Brocheta de camaron apanado en coco ; Coco rallado ; Fruton ; 0,350 ; kg ; 4.350 ; 1.523 ; 16 
 AC04B ; AC-Brocheta de camaron apanado en coco ; Aceite ; Fruton ; 2,000 ; lt ; 3.450 ; 6.900 ; 69 
 AC04B ; AC-Brocheta de camaron apanado en coco ; Limón ; Fruton ; 1,000 ; kg ; 1.590 ; 1.590 ; 16 
 AC04B ; AC-Brocheta de camaron apanado en coco ; Brochetas de 12 cm ; Delicias y mas SpA ; 1,000 ; pqte ; 790 ; 790 ; 8 
 AC04B ; AC-Brocheta de camaron apanado en coco-Salsa de mango ; pulpa de mango ; Congefruits ; 0,500 ; kg ; 3.900 ; 1.950 ; 20 
